id,title,link,series,cover_link,author,author_link,rating_count,review_count,average_rating,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings,number_of_pages,date_published,publisher,original_title,genre_and_votes,isbn,isbn13,asin,settings,characters,awards,amazon_redirect_link,worldcat_redirect_link,recommended_books,books_in_series,description
630104,Inner Circle,https://www.goodreads.com//book/show/630104.Inner_Circle,(Private #5),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389046834l/630104.jpg,"Kate Brian, Julian Peploe",https://www.goodreads.com/author/show/94091.Kate_Brian,7597,196,4.03,3045,2323,1748,389,92,220,January 1st 2007,Simon  Schuster Books for Young Readers,Inner Circle,"Young Adult 161, Mystery 45, Romance 32",1416950419,9781416950417,,,,,https://www.goodreads.com//book_link/follow/17439?book_id=630104&source=dropdown,https://www.goodreads.com//book_link/follow/8?book_id=630104,"726458, 726458, 1537534, 3047848, 1651302, 3047851, 561403, 162085, 3047849, 3047850, 162089, 9528186, 6443321, 9893331, 37487, 43207845, 37856897, 52589893, 37486","381489, 381501, 352428, 630103, 1783281, 1783289, 2206960, 3997399, 5995900, 6693415","Reed Brennan arrived at Easton Academy expecting to find an idyllic private school experience -- challenging classes, adorably preppy boys, and a chance to create a new life for herself. Instead, she discovered lies, deception, blackmail, and...murder. But, thankfully, the killers were caught and the nightmare is finally over.     Now, with a new school year ahead of her, Re Reed Brennan arrived at Easton Academy expecting to find an idyllic private school experience -- challenging classes, adorably preppy boys, and a chance to create a new life for herself. Instead, she discovered lies, deception, blackmail, and...murder. But, thankfully, the killers were caught and the nightmare is finally over.     Now, with a new school year ahead of her, Reed steps back on Easton's ivy-covered campus ready to start over. So when the headmaster announces that billings is forbidden from holding their traditional, secretive initiation, Reed is relieved. She champions the new rules and the six new girls the administration has picked to live in Billings Hall: Constance, Missy, Lorna, Kiki, Astrid, and newcomer Sabine.     But Reed's fellow Billings resident and new nemesis, Cheyenne Martin, believes the changes are a mockery of Billings history. Despite the new rules, Cheyenne vows to keep the old ways alive, no matter what -- or   -- stands in her way..."
9487,A Time to Embrace,https://www.goodreads.com//book/show/9487.A_Time_to_Embrace,(Timeless Love #2),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433586236l/9487._SY475_.jpg,Karen Kingsbury,https://www.goodreads.com/author/show/3159984.Karen_Kingsbury,4179,177,4.35,2255,1290,518,93,23,400,October 29th 2006,Thomas Nelson,,"Christian Fiction 114, Christian 45, Fiction 33, Romance 16",1595542329,9781595542328,,,,,https://www.goodreads.com//book_link/follow/17439?book_id=9487&source=dropdown,https://www.goodreads.com//book_link/follow/8?book_id=9487,"127352, 127352, 40642197, 127353, 127354, 38915884, 3767646, 352557, 44441954, 16122786, 127345, 1767573, 127349, 22574072, 9598570, 371756, 80347, 9452566, 656410",115036,"Ideje az Ã¶lelÃ©snek TÃ¶rtÃ©net a remÃ©nyrÅl, gyÃ³gyulÃ¡srÃ³l, Ã©s az Ã©let gazdagsÃ¡gÃ¡rÃ³l by Karen Kingsbury  Az Ideje az Ã¶lelÃ©snek tÃ¶rtÃ©nete nem mindennapi fordulatok sorÃ¡n Ã¡t mutatja meg, mit bÃ­r ki a hÃ¡zassÃ¡g âhÃ¡rmas kÃ¶telÃ©keâ, Ã©s merre visz azoknak az Ãºtja, akik bizalmukat a gyÃ³gyÃ­tÃ³, remÃ©nyt adÃ³ Ã©s mindent az Åt szeretÅk javÃ¡ra fordÃ­tÃ³ Istenbe vetik. Az Ideje a tÃ¡ncnak cÃ­mÅ± regÃ© Ideje az Ã¶lelÃ©snek TÃ¶rtÃ©net a remÃ©nyrÅl, gyÃ³gyulÃ¡srÃ³l, Ã©s az Ã©let gazdagsÃ¡gÃ¡rÃ³l by Karen Kingsbury  Az Ideje az Ã¶lelÃ©snek tÃ¶rtÃ©nete nem mindennapi fordulatok sorÃ¡n Ã¡t mutatja meg, mit bÃ­r ki a hÃ¡zassÃ¡g âhÃ¡rmas kÃ¶telÃ©keâ, Ã©s merre visz azoknak az Ãºtja, akik bizalmukat a gyÃ³gyÃ­tÃ³, remÃ©nyt adÃ³ Ã©s mindent az Åt szeretÅk javÃ¡ra fordÃ­tÃ³ Istenbe vetik. Az Ideje a tÃ¡ncnak cÃ­mÅ± regÃ©nyben megismert âtÃ¶kÃ©letesâ hÃ¡zaspÃ¡r, Abby Ã©s John kapcsolata erÅsebb, mint valaha. A pÃ¡r Ã©letÃ©ben azonban Ãºj kihÃ­vÃ¡s jelenik meg: John csÃ­pÅtÅl lefelÃ© megbÃ©nul egy autÃ³balesetbenâ¦"
6050894,Take Two,https://www.goodreads.com//book/show/6050894-take-two,(Above the Line #2),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388271937l/6050894.jpg,Karen Kingsbury,https://www.goodreads.com/author/show/3159984.Karen_Kingsbury,6288,218,4.23,3000,2020,1041,183,44,320,January 1st 2009,Zondervan,Take Two,"Christian Fiction 174, Christian 81, Fiction 58",,,,"Bloomington, Indiana(United States)",,,https://www.goodreads.com//book_link/follow/17439?book_id=6050894&source=dropdown,https://www.goodreads.com//book_link/follow/8?book_id=6050894,"706250, 706250, 666481, 11942636, 706241, 127345, 237169, 377513, 2973738, 3767646, 127346, 909104, 127353, 35821150, 19083218, 11823941, 574209, 6335685, 18126903","4010795, 40792877, 7306261","Filmmakers Chase Ryan and Keith Ellison have completed their first feature film, and Hollywood is buzzing with the news. In the wake of that excitement, the producers acquire rights to a novel that has all the ingredients they want for their next project. At the same time they cross paths with a well-connected player who introduces them to the right people, and suddenly ev Filmmakers Chase Ryan and Keith Ellison have completed their first feature film, and Hollywood is buzzing with the news. In the wake of that excitement, the producers acquire rights to a novel that has all the ingredients they want for their next project. At the same time they cross paths with a well-connected player who introduces them to the right people, and suddenly every studio in town wants to talk to Chase and Keith. The producers' dreams are on the verge of coming true, but Chase's marriage is strained and Keith's daughter --- Andi Ellison --- is making questionable choices in her quest for stardom. The producers are gaining respect and are on the verge of truly changing culture through the power of film --- but is the change worth the cost?"
39030,Reliquary,https://www.goodreads.com//book/show/39030.Reliquary,(Pendergast #2),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386922100l/39030.jpg,"Douglas Preston, Lincoln Child",https://www.goodreads.com/author/show/12577.Douglas_Preston,38382,1424,4.01,12711,15407,8511,1429,324,464,1997,Tor Books,Reliquary,"Thriller 626, Mystery 493, Horror 432, Fiction 422",0765354950,9780765354952,,"New York State(United States) New York City, New York(United States)","Aloysius X.L. Pendergast, Margo Green, William Smithback, Dr. Whitney C. Frock, Laura Hayward, Jack Waxie, Bryce Harriman, Vincent D'Agosta",,https://www.goodreads.com//book_link/follow/17439?book_id=39030&source=dropdown,https://www.goodreads.com//book_link/follow/8?book_id=39030,"39026, 39026, 11007668, 3986318, 51887330, 19468821, 23211078, 32336166, 39027, 294043, 53341399, 5171894, 20346696, 43386047, 19368383, 23788392, 294046, 216214, 18416","67035, 39031, 39033, 136637, 136638, 30068, 39028, 2197227, 7122034, 40884817",""
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,https://www.goodreads.com//book/show/998.The_Millionaire_Next_Door,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348313018l/998.jpg,"Thomas J. Stanley, William D. Danko",https://www.goodreads.com/author/show/659.Thomas_J_Stanley,72168,3217,4.04,27594,25219,14855,3414,1086,258,October 28th 1995,Gallery Books,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,"Economics-Finance 1162, Nonfiction 910, Business 817, Finance-Personal Finance 471, Self Help 327, Currency-Money 296, Economics 178, Self Help-Personal Development 114, Audiobook 52, Psychology 49",0671015206,9780671015206,,,,Independent Publisher Book Award (IPPY) Nominee for Business (Finalist) (1997),https://www.goodreads.com//book_link/follow/17439?book_id=998&source=dropdown,https://www.goodreads.com//book_link/follow/8?book_id=998,"1052, 1052, 763362, 69571, 78427, 30186948, 106835, 78428, 785092, 36072, 4865, 1134122, 30646587, 368593, 81922, 621, 1303, 356896, 759945",,The incredible national bestseller that is changing people's lives -- and increasing their net worth!  The incredible national bestseller that is changing people's lives -- and increasing their net worth! 
311164,Black Sheep,https://www.goodreads.com//book/show/311164.Black_Sheep,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320483878l/311164.jpg,Georgette Heyer,https://www.goodreads.com/author/show/18067.Georgette_Heyer,9538,775,4.05,3298,3831,2042,304,63,252,March 1st 1966,Arrow,Black Sheep,"Romance 550, Historical-Historical Fiction 316, Historical-Regency 234, Romance-Historical Romance 229, Historical 198, Fiction 161",0099468034,9780099468035,,,"Abigail Wendover, Miles Calverleigh",,https://www.goodreads.com//book_link/follow/17439?book_id=311164&source=dropdown,https://www.goodreads.com//book_link/follow/8?book_id=311164,"6528786, 6528786, 311125, 376509, 40487683, 2838208, 1374016, 51616063, 1373994, 18893147, 40188318, 51762284, 43877356, 53305443, 222754, 40487682, 6784702, 1374038, 510481",,"With her high-spirited intelligence and good looks, Abigail Wendover was a most sought-after young woman. But of all her high-placed suitors, there was none Abigail could love. Abigail was kept busy when her pretty and naive niece Fanny falls head over heels in love with Stacy Calverleigh, a good-looking town-beau of shocking reputation and an acknowledged seductor. She wa With her high-spirited intelligence and good looks, Abigail Wendover was a most sought-after young woman. But of all her high-placed suitors, there was none Abigail could love. Abigail was kept busy when her pretty and naive niece Fanny falls head over heels in love with Stacy Calverleigh, a good-looking town-beau of shocking reputation and an acknowledged seductor. She was determined to prevent her high-spirited niece from being gulled into a clandestine marriage with handsome Stacy, a plausible fortune-hunter. The arrival to Bath of Stacy's uncle seemed to indicate an ally, but Miles Calverleigh is the black sheep of the family.  Miles Calverleigh had no regard for the polite conventions of Regency society. His cynicism, his morals, his manners appalled Abigail. But he turns out to be her most important ally in keeping her niece out of trouble. He also turned out to be the most provoking creature Abigail had ever met - with a disconcerting ability to throw her into giggles at quite the wrong moment. Yet she was irresistibly drawn to his knowing smile. But how could she persuade her wealthy, respectable family to accept this unconventional, unsuitable man?"
32105,Sylvester,https://www.goodreads.com//book/show/32105.Sylvester,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360785384l/32105.jpg,"Georgette Heyer, Joan Wolf",https://www.goodreads.com/author/show/18067.Georgette_Heyer,13473,1141,4.11,5216,5225,2470,434,128,410,1957,Harlequin,"Sylvester, or The Wicked Uncle","Romance 725, Historical-Historical Fiction 395, Romance-Historical Romance 332, Historical-Regency 285, Historical 252, Fiction 173",0373836082,9780373836086,,,"Phoebe Marlow, Sylvester, Duke of Salford",,https://www.goodreads.com//book_link/follow/17439?book_id=32105&source=dropdown,https://www.goodreads.com//book_link/follow/8?book_id=32105,"311125, 311125, 40188318, 40487683, 222754, 1340251, 1373994, 1374016, 222807, 376509, 6528786, 802143, 548507, 222809, 2838208, 51416728, 24893051, 50645979, 19305844",,"When the news went out that Sylvester Rayne, the elegant, impeccable Duke of Salford, was seeking a wife, all England was aflutter! Lord Sylvester is a polished bachelor who has stringent requirements for his future wife -- she must be well-born, intelligent, elegant and attractive. And of course she must be able to present herself well in high society. But when he is enco When the news went out that Sylvester Rayne, the elegant, impeccable Duke of Salford, was seeking a wife, all England was aflutter! Lord Sylvester is a polished bachelor who has stringent requirements for his future wife -- she must be well-born, intelligent, elegant and attractive. And of course she must be able to present herself well in high society. But when he is encouraged to consider Phoebe Marlow as a bride, Sylvester is taken aback by the coltish woman who seems to resent him... The first time Sylvester met Phoebe, he found her dull and insipid. Phoebe, was a hoydenish country miss with literary aspirations. And when she was snubbed by the Duke, and she thought he was insufferably arrogant. In fact, she deemed him the most arrogant rake she'd ever met. In secret, she'd fashioned the villain and a knave in her romance novel unmistakably after Sylvester! Phoebe meets none of Duke's criteria for a fiancee. But when Phoebe ran away, she got his attention and fancy. Intrigued Sylvester decides that if Petruchio could tame Katherine, he had no doubt he could tame Phoebe. And when a series of unforeseen events leads them to be stranded together in a lonely country inn, they are both forced to reassess their hastily formed opinions, and they begin to discover a new-found liking and respect for each other, and they find striking up an unusual friendship. Phoebe discovers that the duke isn't the villian she first thought. And Sylvester stumbles upon something he never dared hope for... But what Sylvester doesn't know is that Phoebe has just published a novel - a novel in which all London will recognize him. But how could she guess her book would be a scandalous success? Or that the man she had cast as a villain would become the heartbreaking hero of her dreams?"
377993,Joe,https://www.goodreads.com//book/show/377993.Joe,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404580690l/377993.jpg,Larry Brown,https://www.goodreads.com/author/show/31125.Larry_Brown,2722,260,4.18,1111,1119,385,76,31,368,1980,Algonquin Books,Joe,"Fiction 106, American-Southern 26, Gothic-Southern Gothic 23",1565124138,9781565124134,,,,,https://www.goodreads.com//book_link/follow/17439?book_id=377993&source=dropdown,https://www.goodreads.com//book_link/follow/8?book_id=377993,"972106, 972106, 294731, 24847, 51197807, 1704719, 294733, 108315, 3336575, 10108463, 214340, 24849, 44179, 27245902, 93244, 112529, 36556924, 763679, 6553843",,"Now a major motion picture starring Nicolas Cage, directed by David Gordon Green.  Joe Ransom is a hard-drinking ex-con pushing fifty who just wonât slow down--not in his pickup, not with a gun, and certainly not with women. Gary Jones estimate Now a major motion picture starring Nicolas Cage, directed by David Gordon Green.  Joe Ransom is a hard-drinking ex-con pushing fifty who just wonât slow down--not in his pickup, not with a gun, and certainly not with women. Gary Jones estimates his own age to be about fifteen. Born luckless, he is the son of a hopeless, homeless wandering family, and heâs desperate for a way out. When their paths cross, Joe offers him a chance just as his own chances have dwindled to almost nothing. Together they follow a twisting map to redemption--or ruin."
71292,Asterix the Gaul,https://www.goodreads.com//book/show/71292.Asterix_the_Gaul,(AstÃ©rix #1),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433174923l/71292._SX318_.jpg,"RenÃ© Goscinny, Albert Uderzo, Anthea Bell, Derek Hockridge",https://www.goodreads.com/author/show/1041311.Ren_Goscinny,23324,534,4.17,10488,7797,3942,712,385,48,July 14th 1960,"Orion Books Ltd., London",AstÃ©rix le Gaulois,"Sequential Art-Comics 947, Sequential Art-Graphic Novels 319, Sequential Art-Bande DessinÃ©e 160, Fiction 142, Humor 112, Cultural-France 96",0752866052,9780752866055,,"Armorica, Brittany(France)","Asterix, Obelix, Julius Caesar, Panoramix, Assurancetourix, Abraracourcix",,https://www.goodreads.com//book_link/follow/17439?book_id=71292&source=dropdown,https://www.goodreads.com//book_link/follow/8?book_id=71292,"2895675, 2895675, 238055, 18211116, 122447, 1222777, 122444, 122442, 165555, 146109, 87424, 628730, 87425, 87426, 790192, 89321, 1222719, 95198, 1357150","122439, 122408, 122401, 122421, 122410, 122404, 71299, 122420, 122418, 122403","The year is 50BC, and all Gaul is occupied. Only one small village of indomitable Gauls still holds out against the invaders. But how much longer can Asterix, Obelix and their friends resist the mighty Roman legions of Julius Caesar? Anything is possible, with a little cunning plus the druid Getafix's magic potions! Their effects can be truly hair-raising..."
821003,When We Were Very Young,https://www.goodreads.com//book/show/821003.When_We_Were_Very_Young,(Winnie-the-Pooh #3),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348198334l/821003.jpg,"A.A. Milne, Ernest H. Shepard",https://www.goodreads.com/author/show/81466.A_A_Milne,21973,532,4.3,11753,6063,3349,623,185,100,November 1924,E.P. Dutton,When We Were Very Young,"Poetry 599, Childrens 384, Classics 301, Fiction 149",0525444459,9780525444459,,,,,https://www.goodreads.com//book_link/follow/17439?book_id=821003&source=dropdown,https://www.goodreads.com//book_link/follow/8?book_id=821003,"6192692, 6192692, 543505, 20413, 34053, 563098, 164531, 397157, 585747, 1077318, 145383, 5659, 91418, 68240, 375711, 35667144, 160629, 45021, 19330","99107, 776407, 821000",""
